[2020-07-09 10:39:05,256] - INFO: 驱动app打开成功...
[2020-07-09 10:39:35,829] - INFO: 登录成功，进入首页...
[2020-07-09 10:39:35,830] - INFO: 验证批量修改设备
[2020-07-09 10:39:59,086] - INFO: ========测试完成========
[2020-07-09 10:43:14,284] - INFO: ========初始化测试环境========
[2020-07-09 10:43:14,474] - INFO: 获取设备系统版本号成功...
[2020-07-09 10:43:14,520] - INFO: 获取设备名成功...
[2020-07-09 10:43:14,723] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 10:43:14,723] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 10:43:14,747] - INFO: desired_caps更新完成...
[2020-07-09 10:43:14,757] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 10:43:15,049] - INFO: 应用已安装...
[2020-07-09 10:43:15,741] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 10:43:26,117] - INFO: 驱动app打开成功...
[2020-07-09 10:43:56,798] - INFO: 登录成功，进入首页...
[2020-07-09 10:43:56,799] - INFO: 验证批量修改设备
[2020-07-09 10:44:19,716] - INFO: ========测试完成========
[2020-07-09 10:45:15,014] - INFO: ========初始化测试环境========
[2020-07-09 10:45:15,192] - INFO: 获取设备系统版本号成功...
[2020-07-09 10:45:15,251] - INFO: 获取设备名成功...
[2020-07-09 10:45:15,449] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 10:45:15,449] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 10:45:15,462] - INFO: desired_caps更新完成...
[2020-07-09 10:45:15,467] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 10:45:15,782] - INFO: 应用已安装...
[2020-07-09 10:45:16,358] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 10:45:24,180] - INFO: 驱动app打开成功...
[2020-07-09 10:45:55,026] - INFO: 登录成功，进入首页...
[2020-07-09 10:45:55,027] - INFO: 验证批量修改设备
[2020-07-09 10:46:18,625] - INFO: ========测试完成========
[2020-07-09 10:47:00,159] - INFO: ========初始化测试环境========
[2020-07-09 10:47:00,320] - INFO: 获取设备系统版本号成功...
[2020-07-09 10:47:00,368] - INFO: 获取设备名成功...
[2020-07-09 10:47:00,607] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 10:47:00,608] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 10:47:00,634] - INFO: desired_caps更新完成...
[2020-07-09 10:47:00,647] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 10:47:00,967] - INFO: 应用已安装...
[2020-07-09 10:47:01,801] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 10:47:10,944] - INFO: 驱动app打开成功...
[2020-07-09 10:47:41,121] - INFO: 登录成功，进入首页...
[2020-07-09 10:47:41,121] - INFO: 验证批量修改设备
[2020-07-09 10:48:07,360] - INFO: ========测试完成========
[2020-07-09 10:50:29,968] - INFO: ========初始化测试环境========
[2020-07-09 10:50:30,142] - INFO: 获取设备系统版本号成功...
[2020-07-09 10:50:30,197] - INFO: 获取设备名成功...
[2020-07-09 10:50:30,270] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 10:50:30,270] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 10:50:30,282] - INFO: desired_caps更新完成...
[2020-07-09 10:50:30,289] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 10:50:30,664] - INFO: 应用已安装...
[2020-07-09 10:50:31,289] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 10:50:39,755] - INFO: 驱动app打开成功...
[2020-07-09 10:51:10,256] - INFO: 登录成功，进入首页...
[2020-07-09 10:51:10,256] - INFO: 验证批量修改设备
