[2020-07-22 10:42:17,620] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:42:17,633] - INFO: 验证删除浴位
[2020-07-22 10:42:45,244] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:42:46,065] - INFO: ========测试完成========
[2020-07-22 10:45:02,595] - INFO: ========初始化测试环境========
[2020-07-22 10:45:02,846] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:45:02,907] - INFO: 获取设备名成功...
[2020-07-22 10:45:03,150] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:45:03,150] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:45:03,167] - INFO: desired_caps更新完成...
[2020-07-22 10:45:03,175] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:45:03,486] - INFO: 应用已安装...
[2020-07-22 10:45:04,392] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:45:13,235] - INFO: 驱动app打开成功...
[2020-07-22 10:45:43,353] - INFO: 登录成功，进入首页...
[2020-07-22 10:45:43,354] - INFO: 验证新增浴位
[2020-07-22 10:46:00,376] - INFO: ========测试完成========
[2020-07-22 10:47:45,193] - INFO: ========初始化测试环境========
[2020-07-22 10:47:45,455] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:47:45,513] - INFO: 获取设备名成功...
[2020-07-22 10:47:45,759] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:47:45,760] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:47:45,789] - INFO: desired_caps更新完成...
[2020-07-22 10:47:45,799] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:47:46,118] - INFO: 应用已安装...
[2020-07-22 10:47:46,631] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:47:54,009] - INFO: 驱动app打开成功...
[2020-07-22 10:48:24,516] - INFO: 登录成功，进入首页...
[2020-07-22 10:48:24,516] - INFO: 验证新增浴位
[2020-07-22 10:48:58,203] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:48:58,802] - INFO: ========测试完成========
[2020-07-22 10:50:45,247] - INFO: ========初始化测试环境========
[2020-07-22 10:50:45,566] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:50:45,614] - INFO: 获取设备名成功...
[2020-07-22 10:50:45,849] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:50:45,850] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:50:45,861] - INFO: desired_caps更新完成...
[2020-07-22 10:50:45,867] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:50:46,200] - INFO: 应用已安装...
[2020-07-22 10:50:46,928] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:50:56,110] - INFO: 驱动app打开成功...
[2020-07-22 10:51:26,118] - INFO: 登录成功，进入首页...
[2020-07-22 10:51:26,118] - INFO: 验证新增浴位
[2020-07-22 10:52:24,921] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:52:25,661] - INFO: ========测试完成========
[2020-07-22 10:54:06,548] - INFO: ========初始化测试环境========
[2020-07-22 10:54:06,803] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:54:06,866] - INFO: 获取设备名成功...
[2020-07-22 10:54:07,110] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:54:07,110] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:54:07,125] - INFO: desired_caps更新完成...
[2020-07-22 10:54:07,133] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:54:07,447] - INFO: 应用已安装...
[2020-07-22 10:54:08,162] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:54:17,436] - INFO: 驱动app打开成功...
[2020-07-22 10:54:48,185] - INFO: 登录成功，进入首页...
[2020-07-22 10:54:48,186] - INFO: 验证新增浴位
[2020-07-22 10:55:29,153] - INFO: ========测试完成========
[2020-07-22 10:58:21,512] - INFO: ========初始化测试环境========
[2020-07-22 10:58:21,812] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:58:21,863] - INFO: 获取设备名成功...
[2020-07-22 10:58:22,081] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:58:22,081] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:58:22,094] - INFO: desired_caps更新完成...
[2020-07-22 10:58:22,099] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:58:22,432] - INFO: 应用已安装...
[2020-07-22 10:58:23,281] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:58:33,945] - INFO: 驱动app打开成功...
[2020-07-22 10:59:05,519] - INFO: 登录成功，进入首页...
[2020-07-22 10:59:06,689] - INFO: 验证新增浴位
[2020-07-22 11:00:20,721] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 11:00:22,087] - INFO: ========测试完成========
[2020-07-22 11:01:13,991] - INFO: ========初始化测试环境========
[2020-07-22 11:01:14,259] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:01:14,326] - INFO: 获取设备名成功...
[2020-07-22 11:01:14,543] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:01:14,543] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:01:14,554] - INFO: desired_caps更新完成...
[2020-07-22 11:01:14,560] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:01:14,867] - INFO: 应用已安装...
[2020-07-22 11:01:15,774] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:01:25,132] - INFO: 驱动app打开成功...
[2020-07-22 11:01:55,466] - INFO: 登录成功，进入首页...
[2020-07-22 11:01:55,483] - INFO: 验证编辑浴位
[2020-07-22 11:02:22,332] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 11:02:22,907] - INFO: ========测试完成========
[2020-07-22 11:02:46,744] - INFO: ========初始化测试环境========
[2020-07-22 11:02:47,032] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:02:47,084] - INFO: 获取设备名成功...
[2020-07-22 11:02:47,217] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:02:47,217] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:02:47,228] - INFO: desired_caps更新完成...
[2020-07-22 11:02:47,235] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:02:47,569] - INFO: 应用已安装...
[2020-07-22 11:02:48,075] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:02:55,804] - INFO: 驱动app打开成功...
[2020-07-22 11:03:25,658] - INFO: 登录成功，进入首页...
[2020-07-22 11:03:25,663] - INFO: 验证编辑浴位
[2020-07-22 11:03:44,995] - INFO: ========测试完成========
[2020-07-22 11:05:19,689] - INFO: ========初始化测试环境========
[2020-07-22 11:05:19,948] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:05:20,009] - INFO: 获取设备名成功...
[2020-07-22 11:05:20,233] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:05:20,233] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:05:20,244] - INFO: desired_caps更新完成...
[2020-07-22 11:05:20,250] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:05:20,546] - INFO: 应用已安装...
[2020-07-22 11:05:21,310] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:05:31,248] - INFO: 驱动app打开成功...
[2020-07-22 11:06:01,273] - INFO: 登录成功，进入首页...
[2020-07-22 11:06:01,281] - INFO: 验证编辑浴位
[2020-07-22 11:06:28,332] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 11:06:28,751] - INFO: ========测试完成========
[2020-07-22 11:07:19,054] - INFO: ========初始化测试环境========
[2020-07-22 11:07:19,359] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:07:19,422] - INFO: 获取设备名成功...
[2020-07-22 11:07:19,654] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:07:19,654] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:07:19,666] - INFO: desired_caps更新完成...
[2020-07-22 11:07:19,671] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:07:20,080] - INFO: 应用已安装...
[2020-07-22 11:07:20,959] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:07:31,411] - INFO: 驱动app打开成功...
[2020-07-22 11:08:01,538] - INFO: 登录成功，进入首页...
[2020-07-22 11:08:01,545] - INFO: 验证编辑浴位
[2020-07-22 11:08:26,682] - INFO: ========测试完成========
[2020-07-22 11:10:05,403] - INFO: ========初始化测试环境========
[2020-07-22 11:10:05,617] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:10:05,677] - INFO: 获取设备名成功...
[2020-07-22 11:10:05,747] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:10:05,748] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:10:05,758] - INFO: desired_caps更新完成...
[2020-07-22 11:10:05,763] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:10:06,067] - INFO: 应用已安装...
[2020-07-22 11:10:06,577] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:10:14,991] - INFO: 驱动app打开成功...
[2020-07-22 11:10:45,248] - INFO: 登录成功，进入首页...
[2020-07-22 11:10:45,253] - INFO: 验证编辑浴位
[2020-07-22 11:11:08,145] - INFO: ========测试完成========
[2020-07-22 11:11:40,006] - INFO: ========初始化测试环境========
[2020-07-22 11:11:40,318] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:11:40,375] - INFO: 获取设备名成功...
[2020-07-22 11:11:40,616] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:11:40,617] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:11:40,628] - INFO: desired_caps更新完成...
[2020-07-22 11:11:40,634] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:11:40,980] - INFO: 应用已安装...
[2020-07-22 11:11:41,875] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:11:51,105] - INFO: 驱动app打开成功...
[2020-07-22 11:12:21,782] - INFO: 登录成功，进入首页...
[2020-07-22 11:12:21,793] - INFO: 验证浴位高级设置
[2020-07-22 11:12:41,733] - INFO: ========测试完成========
[2020-07-22 11:13:04,020] - INFO: ========初始化测试环境========
[2020-07-22 11:13:04,227] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:13:04,288] - INFO: 获取设备名成功...
[2020-07-22 11:13:04,363] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:13:04,363] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:13:04,375] - INFO: desired_caps更新完成...
[2020-07-22 11:13:04,382] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:13:04,684] - INFO: 应用已安装...
[2020-07-22 11:13:05,302] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:13:13,618] - INFO: 驱动app打开成功...
[2020-07-22 11:13:43,988] - INFO: 登录成功，进入首页...
[2020-07-22 11:13:43,998] - INFO: 验证删除浴位
[2020-07-22 11:14:12,726] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 11:14:13,454] - INFO: ========测试完成========
[2020-07-22 11:15:10,075] - INFO: ========初始化测试环境========
[2020-07-22 11:15:10,286] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:15:10,351] - INFO: 获取设备名成功...
